14018000,M0PKD,F4GOU-#,CW,4dB Q:9*+ Z:5,14
10107000,KA8TNK,KW7MM-#,CW,8dB Q:2 Z:3               2213Z,1786054397
14049000,JJ1FXF,G4IRN-#,CW,20dB Q:3+ Z:14,24
14027000,KM4CU,W6YX-#,CW,5dB Q:6+ Z:3,4
21019000,JM7OLW,N6TV-#,CW,6dB Q:8+ Z:3,25
7006000,JO4MJO/4,JH7CSU-#,CW,21dB Q:2+ Z:25             2213Z,1786054417
18084000,JL1MWY,KW7MM-#,CW,6dB Q:9+ Z:3              2213Z,1786054418
10111000,M0NMM,SM7IUN-#,CW,9dB Q:9 Z:14,15
14046000,N7BBQ,K3GMQ-#,CW,5dB Q:8+ Z:4,5
14056000,AD4XX,IT9GSF-#,CW,6dB Q:2* Z:8,15
10122000,N0FIH,WE9V-#,CW,5dB Q:4 Z:3,4
14024000,KY4GS,DF7GB-#,CW,8dB Q:8* Z:3,14
14054000,M0KTC,HA1VHF-#,CW,13dB Q:9+ Z:3,5
14026000,SP5EXA,DL8LAS-#,CW,25dB Q:2 Z:14              2214Z,1786054452
21014900,VK4WTZ,ZL3X-#,CW,4dB Q:2* Z:25,32
14060600,WD5HFI,N6TV-#,CW,5dB Q:6* Z:3,4
14048000,JR6JGB,JH7CSU-#,CW,12dB Q:4+ Z:25             2214Z,1786054467
14052000,K7DCG,VE6AO-#,CW,8dB Q:4*+ Z:3,4
7009000,VK4WTZ,VK3RAS-#,CW,7dB Q:2 Z:30,32
14067000,DL8NBM,F4GOU-#,CW,7dB Q:3+ Z:14,16
14008000,DL0JK,JH7CSU-#,CW,3dB Q:9+ Z:22,25
7025000,KJ4IR,KM3T-#,CW,8dB Q:9 Z:3,4
14050100,WB6OJB,W6YX-#,CW,12dB Q:2 Z:3,4
14013900,G0TZD,DL8LAS-#,CW,6dB Q:9*+ Z:11,14
14019000,OG50YL,HB9BXE-#,CW,5dB Q:9+ Z:14             2214Z,1786054490
14020000,9A5AHN,MM0ZBH-#,CW,14dB Q:9*+ Z:14,15
14255000,OY1R,VE3DIG,USB,FN03et -> IP62             2215Z,1786054500
14062500,KC0ZPS,AK6RI-#,CW,7dB Q:9+ Z:3              2214Z,1786054503
7003100,OY1CT,RK3TD-#,CW,11dB Q:9* Z:14,15
14040500,N1CCC,VE6WZ-#,CW,3dB Q:2+ Z:4              2212Z,1786054516
14025000,IK0YVV,OZ1BZS-#,CW,6dB Q:9+ Z:14,33
7027400,M5TXJ,ON6ZQ-#,CW,4dB Q:5+ Z:14             2215Z,1786054528
28029900,EA5FQ,IT9GSF-#,CW,7dB Q:2 Z:15,33
14021000,TA1CW,PA5KT-#,CW,3dB Q:9* Z:5,14
14034000,VE3RQ,EA8/DF-#,CW,18dB Q:9+ Z:15,33
14112400,PA3BUL,WZ7I-#,CW,3dB Q:2*+ Z:3,5
7034500,VE3UXJ,KG6NFJ-#,CW,11dB Q:9*+ Z:3,4
14046500,DK5DQ,WC2L-#,CW,8dB Q:9*+ Z:5,15
14035000,F5TVG,KM3T-#,CW,25dB Q:2* Z:5,7
14030000,KD2OWJ,K3PA-#,CW,12dB Q:2+ Z:5,14
14017700,YU7BI,DK0KK-#,CW,10dB Q:4 Z:5,14
7028000,JJ5MKY,JE2YCR-#,CW,23dB Q:2 Z:25              2214Z,1786054568
14017700,YU7B,SZ1A-#,CW,8dB Q:4 Z:5,14
7029000,JF6DMT,JA1CCA-#,CW,17dB Q:2 Z:25              2216Z,1786054572
14035000,W1AW/2,F4GOU-#,CW,3dB Q:8+ Z:14             2216Z,1786054576
14017800,YU7BI,TI7W-#,CW,16dB Q:9+ Z:7,14
7012500,EA1FL/P,G0KTN-#,CW,15dB Q:8+ Z:14             2214Z,1786054584
7037500,HB9YC,DK3UA-#,CW,5dB Q:4+ Z:14             2216Z,1786054586
14058600,OK2JIQ,CT1EYQ-#,CW,7dB Q:9*+ Z:3,5
7037000,CX2UI,LU8XW-#,CW,12dB Q:2+ Z:11,13
3573000,ON8DM,EA2DYB,FT8,-07dB 1889Hz               2216Z,1786054593
